playerId,name,position,team,sourceRank,primarySource,primaryProjection,scheduleProjection,scheduleVbdDelta,fbg,legacyFbgWeekly,cbs,fantasyPros,pff,sourceMedian,sourceRange,candidateModel,vbd,expectedVbd,vbdDelta,cbsVbd,fantasyProsVbd,pffVbd,intrinsic,market,maxBid,packMarket,packMaxBid,monotoneRoomCurveMarket,fbgValue,fbgGlobalRank,mflAav,fbgLatestTeam,fbgNegativeWeeks,marketPositionRank,fbgPositionRank,mflPositionRank,flags
cbs:3168310,Drake Dabney,TE,GB,88,Thunder Bowl Consensus,24.1,23.4,-0.7,,,23.8,24.4,,24.1,0.6,,-148.2,-148.2,0.0,-155.9,-142.8,,1,1,1,1,1,1,,,,,,88,,,
fbg:AlieMo00,Mo Alie-Cox,TE,IND,89,Thunder Bowl Consensus,25.1,24.4,-0.7,23.0,14.3,,27.3,,25.1,4.3,,-147.2,-147.2,0.0,,-139.9,,1,1,1,1,1,1,1,325,,IND,0,84,63,,
cbs:29184228,Carter Runyon,TE,LV,90,Thunder Bowl Consensus,23.2,22.5,-0.7,,,23.2,,,23.2,,,-149.1,-149.1,0.0,-156.5,,,1,1,1,1,1,1,,,,,,91,,,
fbg:WestNi00,Nick Westbrook-Ikhine,WR,IND,95,Thunder Bowl Consensus,32.1,35.1,3.0,46.9,48.2,,17.2,,32.0,29.7,,-178.7,-178.7,0.0,,-192.9,,1,1,1,1,1,1,1,278,,IND,0,148,88,,
fbg:MatsKa00,Kansei Matsuzawa,K,LV,40,Thunder Bowl Consensus,2.0,1.2,-0.8,2.0,2.3,,,,2.0,,3.2,-125.2,-125.2,0.0,,,,1,1,1,1,1,1,,,,LV,0,40,,,
cbs:2239763,Ko Kieft,TE,TB,91,Thunder Bowl Consensus,9.1,8.4,-0.7,,0.0,,9.1,,9.1,,,-163.2,-163.2,0.0,,-158.1,,1,1,1,1,1,1,,,,TB,0,124,,,
cbs:26725942,Andrew Ogletree,TE,IND,92,Thunder Bowl Consensus,15.1,14.4,-0.7,,,21.2,9.0,,15.1,12.2,,-157.2,-157.2,0.0,-158.5,-158.2,,1,1,1,1,1,1,,,,,,107,,,
fbg:HavrLu44,Lucas Havrisik,K,FA,41,Thunder Bowl Consensus,1.4,0.6,-0.8,1.4,1.8,,,,1.4,,3.2,-125.8,-125.8,0.0,,,,1,1,1,1,1,1,,,,FA,0,41,,,
fbg:ColeKE02,Kevin Coleman Jr.,WR,MIA,96,Thunder Bowl Consensus,40.3,43.3,3.0,47.8,35.6,,32.7,,40.3,15.1,,-170.5,-170.5,0.0,,-177.4,,1,1,1,1,1,1,1,308,,MIA,1,132,102,,FBG_NEGATIVE_WEEK
fbg:SchoLu00,Luke Schoonmaker,TE,DAL,93,Thunder Bowl Consensus,19.8,19.1,-0.7,8.9,11.8,,30.8,,19.9,21.9,33.0,-152.5,-152.5,0.0,,-136.4,,1,1,1,1,1,1,1,331,,DAL,0,95,66,,
fbg:KartJo00,Joshua Karty,K,FA,42,Thunder Bowl Consensus,0.6,-0.2,-0.8,0.6,0.9,,,,0.6,,3.2,-126.6,-126.6,0.0,,,,1,1,1,1,1,1,,,,FA,0,42,,,
fbg:PratMa44,Matt Prater,K,FA,43,Thunder Bowl Consensus,0.6,-0.2,-0.8,0.6,0.9,,,,0.6,,3.2,-126.6,-126.6,0.0,,,,1,1,1,1,1,1,,,,FA,0,43,,,
fbg:GanoGr44,Graham Gano,K,FA,44,Thunder Bowl Consensus,0.4,-0.4,-0.8,0.4,0.5,,,,0.4,,3.2,-126.8,-126.8,0.0,,,,1,1,1,1,1,1,,,,FA,0,44,,,
fbg:JohnEm00,Emmett Johnson,RB,KC,58,Thunder Bowl Consensus,42.0,41.2,-0.8,48.8,51.1,,35.2,,42.0,13.6,39.4,-148.1,-148.1,0.0,,-161.1,,1,1,1,1,1,1,1,318,5.46,KC,0,77,60,44,
fbg:HibnMa00,Matt Hibner,TE,BAL,94,Thunder Bowl Consensus,15.0,14.3,-0.7,15.0,11.3,,,,15.0,,,-157.3,-157.3,0.0,,,,1,1,1,1,1,1,1,334,,BAL,0,108,67,,
fbg:ZaccOl00,Olamide Zaccheaus,WR,ATL,97,Thunder Bowl Consensus,68.9,71.9,3.0,51.6,35.6,86.2,69.3,,69.3,34.6,72.6,-141.9,-141.9,0.0,-121.0,-140.8,,1,1,1,1,1,1,1,307,,ATL,1,108,101,,FBG_NEGATIVE_WEEK
fbg:SimsBe00,Ben Sims,TE,MIA,95,Thunder Bowl Consensus,28.1,27.5,-0.6,11.2,9.4,,45.2,,28.2,34.0,17.6,-144.1,-144.1,0.0,,-122.0,,1,1,1,1,1,1,1,344,,MIA,0,77,74,,
fbg:TolbJa00,Jalen Tolbert,WR,MIA,98,Thunder Bowl Consensus,75.3,78.3,3.0,65.2,51.8,,85.5,,75.3,20.3,,-135.5,-135.5,0.0,,-124.6,,1,1,1,1,1,1,1,271,,MIA,1,103,85,,FBG_NEGATIVE_WEEK
fbg:BourKe00,Kendrick Bourne,WR,ARI,99,Thunder Bowl Consensus,63.1,66.1,3.0,75.0,44.7,63.7,50.5,,63.7,24.5,,-147.7,-147.7,0.0,-143.5,-159.6,,1,1,1,1,1,1,1,284,,ARI,0,115,93,,
fbg:HillTy00,Tyreek Hill,WR,FA,100,Thunder Bowl Consensus,31.0,34.0,3.0,31.0,20.5,,,,31.0,,,-179.8,-179.8,0.0,,,,1,1,1,1,1,1,1,387,,FA,0,151,125,,
fbg:NoelJa00,Jaylin Noel,WR,HOU,101,Thunder Bowl Consensus,98.1,101.1,3.0,79.2,44.6,103.0,112.4,,103.0,33.2,,-112.7,-112.7,0.0,-104.2,-97.7,,1,1,1,1,1,1,1,285,,HOU,0,82,94,,
fbg:BoerNa00,Nate Boerkircher,TE,JAX,96,Thunder Bowl Consensus,28.8,28.2,-0.6,20.2,11.2,,37.4,,28.8,17.2,52.1,-143.4,-143.4,0.0,,-129.8,,1,1,1,1,1,1,1,335,2.01,JAX,1,70,68,35,FBG_NEGATIVE_WEEK|MARKET_RANK_VS_MFL_12
cbs:3117113,Tom Kennedy,WR,DET,102,Thunder Bowl Consensus,71.4,74.4,3.0,,,71.4,,,71.4,,,-139.4,-139.4,0.0,-135.8,,,1,1,1,1,1,1,,,,,,106,,,
fbg:SpanBr00,Brevyn Spann-Ford,TE,DAL,97,Thunder Bowl Consensus,16.7,16.0,-0.7,24.0,9.6,,9.4,,16.7,14.6,24.9,-155.6,-155.6,0.0,,-157.8,,1,1,1,1,1,1,1,342,,DAL,0,105,73,,
fbg:DurhPa00,Payne Durham,TE,TB,99,Thunder Bowl Consensus,18.4,17.7,-0.7,19.0,10.9,,17.7,,18.4,1.3,,-153.9,-153.9,0.0,,-149.5,,1,1,1,1,1,1,1,336,,TB,0,98,69,,
fbg:StovCa00,Cade Stover,TE,HOU,98,Thunder Bowl Consensus,21.6,20.9,-0.7,9.7,10.3,,33.6,,21.6,23.9,27.0,-150.7,-150.7,0.0,,-133.6,,1,1,1,1,1,1,1,338,,HOU,0,93,70,,
fbg:StolJa00,Jack Stoll,TE,CLE,100,Thunder Bowl Consensus,12.9,12.2,-0.7,8.2,8.3,,17.7,,12.9,9.5,,-159.4,-159.4,0.0,,-149.5,,1,1,1,1,1,1,1,348,,CLE,1,113,77,,FBG_NEGATIVE_WEEK
fbg:BlueJa01,Jaydon Blue,RB,DAL,59,Thunder Bowl Consensus,63.0,62.3,-0.7,71.5,56.5,,54.4,,63.0,17.1,,-127.0,-127.0,0.0,,-141.9,,1,1,1,1,1,1,1,297,,DAL,1,64,56,,FBG_NEGATIVE_WEEK
fbg:TagoTu00,Tua Tagovailoa,QB,ATL,30,Thunder Bowl Consensus,192.5,192.9,0.4,143.1,191.5,247.8,187.8,,187.8,104.7,181.7,-145.2,-145.2,0.0,-89.0,-157.5,,1,1,1,1,1,1,,,4.54,ATL,1,30,,31,FBG_NEGATIVE_WEEK|PROJECTION_SOURCE_RANGE_50
cbs:2787078,Jelani Woods,TE,NYJ,101,Thunder Bowl Consensus,3.0,2.3,-0.7,3.0,0.0,,,,3.0,,,-169.3,-169.3,0.0,,,,1,1,1,1,1,1,,,,NYJ,0,141,,,
cbs:2964419,Blake Whiteheart,TE,CLE,102,Thunder Bowl Consensus,5.2,4.5,-0.7,5.2,0.0,,,,5.2,,,-167.1,-167.1,0.0,,,,1,1,1,1,1,1,,,,CLE,0,134,,,
fbg:ColeKe01,Keon Coleman,WR,BUF,103,Thunder Bowl Consensus,74.8,77.8,3.0,74.9,46.2,,74.6,,74.8,0.3,,-136.0,-136.0,0.0,,-135.5,,1,1,1,1,1,1,1,280,,BUF,1,105,90,,FBG_NEGATIVE_WEEK
fbg:JolyJu00,Justin Joly,TE,DEN,103,Thunder Bowl Consensus,10.5,9.8,-0.7,11.3,10.2,,9.6,,10.4,1.7,33.2,-161.8,-161.8,0.0,,-157.6,,1,1,1,1,1,1,1,340,4.03,DEN,0,120,71,22,MARKET_RANK_VS_MFL_12
fbg:WhylJo00,Josh Whyle,TE,GB,104,Thunder Bowl Consensus,17.7,17.1,-0.6,18.4,8.8,,17.0,,17.7,1.4,,-154.5,-154.5,0.0,,-150.2,,1,1,1,1,1,1,1,345,,GB,0,100,75,,
fbg:AtweTu00,Tutu Atwell,WR,MIA,104,Thunder Bowl Consensus,54.3,57.3,3.0,51.3,42.5,,57.3,,54.3,6.0,,-156.5,-156.5,0.0,,-152.8,,1,1,1,1,1,1,1,290,,MIA,1,121,95,,FBG_NEGATIVE_WEEK
fbg:HaweJa00,Jackson Hawes,TE,BUF,105,Thunder Bowl Consensus,22.8,22.3,-0.5,15.3,9.8,,30.4,,22.9,15.1,33.5,-149.3,-149.3,0.0,,-136.8,,1,1,1,1,1,1,1,341,,BUF,1,92,72,,FBG_NEGATIVE_WEEK
fbg:MoreFo00,Foster Moreau,TE,HOU,106,Thunder Bowl Consensus,28.5,27.8,-0.7,29.3,8.5,,27.7,,28.5,1.6,31.2,-143.8,-143.8,0.0,,-139.5,,1,1,1,1,1,1,1,347,,HOU,0,73,76,,
fbg:WalkDe01,Devontez Walker,WR,BAL,105,Thunder Bowl Consensus,50.6,53.6,3.0,57.1,45.4,,44.0,,50.5,13.1,,-160.2,-160.2,0.0,,-166.1,,1,1,1,1,1,1,1,283,,BAL,0,124,92,,
