pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,pff_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,pff_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:MoorDJ00,DJ Moore,WR,BUF,MoorDJ00,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,213.7,200.1,208.7,215.8,209.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:WaddJa00,Jaylen Waddle,WR,DEN,WaddJa00,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,217,221.2,210,221.3,217.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:1824308,Ameer Abdullah,RB,JAC,,1824308,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,3.8,,,,3.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:2010409,Dare Ogunbowale,RB,HOU,,2010409,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,2.1,,,,2.1,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:denxxx99,Denver Broncos,DST,DEN,denxxx99,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,204.3,,,,204.3,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:KrafTu00,Tucker Kraft,TE,GB,KrafTu00,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,165.3,182.4,176.7,209.7,183.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:PresDa01,Dak Prescott,QB,DAL,PresDa01,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,342.9,350.9,356.4,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:EgbuEm00,Emeka Egbuka,WR,TB,EgbuEm00,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,202.7,217.9,228.1,222.9,217.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:1620002,Tyler Johnson,WR,DAL,,1620002,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,36.7,,,36.7,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:2131774,Andrew Beck,RB,NYJ,,2131774,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,,14.8,,14.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:2131579,Nick Chubb,RB,HOU,,2131579,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,14.9,,,14.9,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:1737078,DeAndre Hopkins,WR,BAL,,1737078,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,20.8,,,20.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:2174957,Raheem Mostert,RB,LV,,2174957,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,11.8,,,11.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:htxxxx99,Houston Texans,DST,HOU,htxxxx99,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,203.8,,,,203.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:StafMa00,Matthew Stafford,QB,LAR,StafMa00,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,341.6,335,353.3,,343.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2222046,Trayveon Williams,RB,CLE,,2222046,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,,36.5,,36.5,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:1860834,Tyler Lockett,WR,LV,,1860834,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,24.8,,,24.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:2188826,Adam Prentice,RB,DEN,,2188826,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,,10.6,,10.6,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:seaxxx99,Seattle Seahawks,DST,SEA,seaxxx99,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,185.6,,,,185.6,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:ramxxx99,Los Angeles Rams,DST,LAR,ramxxx99,,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,169.7,,,,169.7,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
